unbounded + radio - nma
Formation,Caught poachers,Fled poachers,Resource poached,Resource recovered,Distance travelled
"(10,8,1)",47.00%,53.00%,53.0,6.1,0.7
"(10,8,2)",46.00%,54.00%,54.0,6.3,0.7
"(10,8,3)",59.00%,41.00%,41.0,11.5,2.9
"(10,8,4)",57.00%,43.00%,43.0,7.9,1.9
"(10,8,5)",59.00%,41.00%,41.0,8.7,2.9
"(10,8,6)",59.00%,41.00%,41.0,5.9,2.0
"(10,8,7)",54.00%,46.00%,46.0,10.0,4.8
"(10,8,8)",60.00%,40.00%,40.0,14.4,3.0
